Country Name,Country Code,Series,Series Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Belize,BLZ,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Belize,BLZ,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Belize,BLZ,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Belize,BLZ,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Belize,BLZ,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Benin,BEN,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Benin,BEN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,342.47148,447.969,418.31007,..,..
Benin,BEN,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Benin,BEN,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Benin,BEN,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Benin,BEN,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Benin,BEN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,3809789,..,..
Bermuda,BMU,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Bermuda,BMU,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Bermuda,BMU,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Bermuda,BMU,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Bermuda,BMU,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Bermuda,BMU,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Bermuda,BMU,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Bhutan,BTN,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Bhutan,BTN,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,140.11828,156.0018,167.87057,..,..
Bhutan,BTN,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Bhutan,BTN,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Bhutan,BTN,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Bhutan,BTN,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Bhutan,BTN,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,183115,..,..,..
Bolivia,BOL,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Bolivia,BOL,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Bolivia,BOL,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Bolivia,BOL,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Bolivia,BOL,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Bolivia,BOL,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Bolivia,BOL,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Bosnia and Herzegovina,BIH,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,398.497662699098,..,..
Bosnia and Herzegovina,BIH,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Bosnia and Herzegovina,BIH,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Bosnia and Herzegovina,BIH,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Bosnia and Herzegovina,BIH,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Bosnia and Herzegovina,BIH,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Bosnia and Herzegovina,BIH,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
Botswana,BWA,PISA: Mean performance on the science scale,LO.PISA.SCI,..,..,..,..,..
Botswana,BWA,"Government expenditure on education, US$ (millions)",UIS.X.US.FSGOV,..,..,..,..,..
Botswana,BWA,Annual statutory teacher salaries in public institutions in USD. Upper Secondary. Starting salary,OECD.TSAL.3.E0,..,..,..,..,..
Botswana,BWA,Annual statutory teacher salaries in public institutions in USD. Primary. Starting salary,OECD.TSAL.1.E0,..,..,..,..,..
Botswana,BWA,Annual statutory teacher salaries in public institutions in USD. Pre-Primary. Starting salary,OECD.TSAL.0.E0,..,..,..,..,..
Botswana,BWA,Annual statutory teacher salaries in public institutions in USD. Lower Secondary. Starting salary,OECD.TSAL.2.E0,..,..,..,..,..
Botswana,BWA,"Adult illiterate population, 15+ years, both sexes (number)",UIS.LP.AG15T99,..,..,..,..,..
